state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
Alabama,AL,01,001,33860,Autauga,4253,6239,9348,12441,7797,9677,12447
Alabama,AL,01,003,19300,Baldwin,4685,6873,10298,13706,8590,10660,13712
Alabama,AL,01,005,0100004,Barbour,4031,5913,8860,11792,7390,9172,11797
Alabama,AL,01,007,13820,Bibb,3926,5759,8629,11484,7197,8932,11489
Alabama,AL,01,009,13820,Blount,3926,5759,8629,11484,7197,8932,11489
Alabama,AL,01,011,0100004,Bullock,4405,6462,9682,12886,8076,10022,12891
Alabama,AL,01,013,0100004,Butler,3961,5810,8706,11587,7262,9012,11592
Alabama,AL,01,015,11500,Calhoun,4171,6119,9168,12202,7647,9491,12207
Alabama,AL,01,017,0100002,Chambers,3926,5759,8629,11484,7197,8932,11489
Alabama,AL,01,019,0100002,Cherokee,3961,5810,8706,11587,7262,9012,11592
Alabama,AL,01,021,13820,Chilton,4148,6085,9117,12134,7604,9437,12139
Alabama,AL,01,023,0100003,Choctaw,3996,5862,8783,11689,7326,9092,11694
Alabama,AL,01,025,0100003,Clarke,3914,5742,8603,11450,7176,8906,11455
Alabama,AL,01,027,0100002,Clay,3961,5810,8706,11587,7262,9012,11592
Alabama,AL,01,029,0100002,Cleburne,4218,6187,9271,12339,7733,9597,12344
Alabama,AL,01,031,0100004,Coffee,4452,6530,9784,13022,8161,10129,13028
Alabama,AL,01,033,22520,Colbert,4288,6290,9425,12544,7861,9756,12549
Alabama,AL,01,035,0100003,Conecuh,3914,5742,8603,11450,7176,8906,11455
Alabama,AL,01,037,0100002,Coosa,4241,6222,9322,12407,7776,9650,12413
Alabama,AL,01,039,0100004,Covington,3996,5862,8783,11689,7326,9092,11694
Alabama,AL,01,041,0100004,Crenshaw,4440,6513,9759,12988,8140,10102,12994
Alabama,AL,01,043,0100001,Cullman,4370,6410,9605,12783,8011,9942,12789
Alabama,AL,01,045,0100004,Dale,3984,5845,8757,11655,7304,9065,11660
Alabama,AL,01,047,0100003,Dallas,4019,5896,8834,11758,7369,9145,11763
Alabama,AL,01,049,0100002,DeKalb,4008,5879,8808,11723,7347,9118,11729
Alabama,AL,01,051,33860,Elmore,4335,6359,9528,12680,7947,9863,12686
Alabama,AL,01,053,0100003,Escambia,3914,5742,8603,11450,7176,8906,11455
Alabama,AL,01,055,23460,Etowah,4253,6239,9348,12441,7797,9677,12447
Alabama,AL,01,057,0100001,Fayette,3856,5656,8475,11279,7069,8773,11284
Alabama,AL,01,059,0100001,Franklin,3774,5536,8295,11040,6919,8587,11045
