state,state_abbr,state_fips,provider_name,alternative_provider_name,line_count,monthly_cost,cost_per_line,alternative_monthly_cost,alternative_cost_per_line
Alabama,AL,01,Verizon,Visible,1,65,65,25,25
Alaska,AK,02,Verizon,Visible,1,65,65,25,25
Arizona,AZ,04,T-Mobile,Mint Mobile,1,50,50,25,25
Arkansas,AR,05,Verizon,Visible,1,65,65,25,25
California,CA,06,AT&T,Cricket,1,60,60,35,35
Colorado,CO,08,T-Mobile,Mint Mobile,1,50,50,25,25
Connecticut,CT,09,AT&T,Cricket,1,60,60,35,35
Delaware,DE,10,AT&T,Cricket,1,60,60,35,35
District of Columbia,DC,11,AT&T,Cricket,1,60,60,35,35
Florida,FL,12,T-Mobile,Mint Mobile,1,50,50,25,25
Georgia,GA,13,AT&T,Cricket,1,60,60,35,35
Hawaii,HI,15,Verizon,Visible,1,65,65,25,25
Idaho,ID,16,Verizon,Visible,1,65,65,25,25
Illinois,IL,17,AT&T,Cricket,1,60,60,35,35
Indiana,IN,18,Verizon,Visible,1,65,65,25,25
Iowa,IA,19,Verizon,Visible,1,65,65,25,25
Kansas,KS,20,Verizon,Visible,1,65,65,25,25
Kentucky,KY,21,Verizon,Visible,1,65,65,25,25
Louisiana,LA,22,AT&T,Cricket,1,60,60,35,35
Maine,ME,23,Verizon,Visible,1,65,65,25,25
Maryland,MD,24,AT&T,Cricket,1,60,60,35,35
Massachusetts,MA,25,AT&T,Cricket,1,60,60,35,35
Michigan,MI,26,Verizon,Visible,1,65,65,25,25
Minnesota,MN,27,Verizon,Visible,1,65,65,25,25
Mississippi,MS,28,Verizon,Visible,1,65,65,25,25
Missouri,MO,29,Verizon,Visible,1,65,65,25,25
Montana,MT,30,Verizon,Visible,1,65,65,25,25
Nebraska,NE,31,Verizon,Visible,1,65,65,25,25
Nevada,NV,32,T-Mobile,Mint Mobile,1,50,50,25,25
New Hampshire,NH,33,Verizon,Visible,1,65,65,25,25
New Jersey,NJ,34,AT&T,Cricket,1,60,60,35,35
New Mexico,NM,35,Verizon,Visible,1,65,65,25,25
New York,NY,36,AT&T,Cricket,1,60,60,35,35
North Carolina,NC,37,AT&T,Cricket,1,60,60,35,35
North Dakota,ND,38,Verizon,Visible,1,65,65,25,25
Ohio,OH,39,Verizon,Visible,1,65,65,25,25
Oklahoma,OK,40,Verizon,Visible,1,65,65,25,25
Oregon,OR,41,T-Mobile,Mint Mobile,1,50,50,25,25
Pennsylvania,PA,42,AT&T,Cricket,1,60,60,35,35
Rhode Island,RI,44,AT&T,Cricket,1,60,60,35,35
South Carolina,SC,45,Verizon,Visible,1,65,65,25,25
South Dakota,SD,46,Verizon,Visible,1,65,65,25,25
Tennessee,TN,47,AT&T,Cricket,1,60,60,35,35
Texas,TX,48,AT&T,Cricket,1,60,60,35,35
Utah,UT,49,T-Mobile,Mint Mobile,1,50,50,25,25
Vermont,VT,50,Verizon,Visible,1,65,65,25,25
Virginia,VA,51,AT&T,Cricket,1,60,60,35,35
Washington,WA,53,T-Mobile,Mint Mobile,1,50,50,25,25
West Virginia,WV,54,Verizon,Visible,1,65,65,25,25
Wisconsin,WI,55,Verizon,Visible,1,65,65,25,25
Wyoming,WY,56,Verizon,Visible,1,65,65,25,25
Alabama,AL,01,Verizon,Visible,2,110,55,50,25
Alaska,AK,02,Verizon,Visible,2,110,55,50,25
Arizona,AZ,04,T-Mobile,Mint Mobile,2,180,90,60,30
