state_fips,state,state_abbr,msa_code,metro_name
01,Alabama,AL,33860,Montgomery
01,Alabama,AL,46220,Tuscaloosa
01,Alabama,AL,19460,Decatur
01,Alabama,AL,23460,Gadsden
01,Alabama,AL,19300,Daphne-Fairhope-Foley
01,Alabama,AL,26620,Huntsville
01,Alabama,AL,22520,Florence-Muscle Shoals
01,Alabama,AL,20020,Dothan
01,Alabama,AL,11500,Anniston-Oxford
01,Alabama,AL,33660,Mobile
01,Alabama,AL,12220,Auburn-Opelika
01,Alabama,AL,13820,Birmingham
02,Alaska,AK,11260,Anchorage
02,Alaska,AK,21820,Fairbanks-College
04,Arizona,AZ,38060,Phoenix-Mesa-Chandler
04,Arizona,AZ,39150,Prescott Valley-Prescott
04,Arizona,AZ,49740,Yuma
04,Arizona,AZ,22380,Flagstaff
04,Arizona,AZ,43420,Sierra Vista-Douglas
04,Arizona,AZ,29420,Lake Havasu City-Kingman
04,Arizona,AZ,46060,Tucson
05,Arkansas,AR,22220,Fayetteville-Springdale-Rogers
05,Arkansas,AR,27860,Jonesboro
05,Arkansas,AR,22900,Fort Smith
05,Arkansas,AR,30780,Little Rock-North Little Rock-Conway
05,Arkansas,AR,26300,Hot Springs
06,California,CA,44700,Stockton-Lodi
06,California,CA,41940,San Jose-Sunnyvale-Santa Clara
06,California,CA,20940,El Centro
06,California,CA,17020,Chico
06,California,CA,42020,San Luis Obispo-Paso Robles
06,California,CA,42220,Santa Rosa-Petaluma
06,California,CA,47300,Visalia
06,California,CA,31080,Los Angeles-Long Beach-Anaheim
06,California,CA,34900,Napa
06,California,CA,41740,San Diego-Chula Vista-Carlsbad
06,California,CA,40900,Sacramento-Roseville-Folsom
06,California,CA,41500,Salinas
06,California,CA,33700,Modesto
06,California,CA,32900,Merced
06,California,CA,40140,Riverside-San Bernardino-Ontario
06,California,CA,42100,Santa Cruz-Watsonville
06,California,CA,46700,Vallejo
06,California,CA,23420,Fresno
06,California,CA,42200,Santa Maria-Santa Barbara
06,California,CA,12540,Bakersfield-Delano
06,California,CA,37100,Oxnard-Thousand Oaks-Ventura
06,California,CA,41860,San Francisco-Oakland-Fremont
06,California,CA,25260,Hanford-Corcoran
06,California,CA,39820,Redding
06,California,CA,49700,Yuba City
08,Colorado,CO,14500,Boulder
08,Colorado,CO,24540,Greeley
08,Colorado,CO,39380,Pueblo
08,Colorado,CO,22660,Fort Collins-Loveland
08,Colorado,CO,19740,Denver-Aurora-Centennial
08,Colorado,CO,17820,Colorado Springs
08,Colorado,CO,24300,Grand Junction
09,Connecticut,CT,14860,Bridgeport-Stamford-Danbury
09,Connecticut,CT,35300,New Haven
09,Connecticut,CT,25540,Hartford-West Hartford-East Hartford
09,Connecticut,CT,35980,Norwich-New London-Willimantic
09,Connecticut,CT,47930,Waterbury-Shelton
10,Delaware,DE,20100,Dover
11,District of Columbia,DC,47900,Washington-Arlington-Alexandria
12,Florida,FL,18880,Crestview-Fort Walton Beach-Destin
12,Florida,FL,35840,North Port-Bradenton-Sarasota
12,Florida,FL,45220,Tallahassee
12,Florida,FL,23540,Gainesville
12,Florida,FL,48680,Wildwood-The Villages
12,Florida,FL,38940,Port Saint Lucie
12,Florida,FL,29460,Lakeland-Winter Haven
12,Florida,FL,15980,Cape Coral-Fort Myers
12,Florida,FL,26140,Homosassa Springs
12,Florida,FL,36100,Ocala
12,Florida,FL,37460,Panama City-Panama City Beach
12,Florida,FL,42680,Sebastian-Vero Beach-West Vero Corridor
12,Florida,FL,34940,Naples-Marco Island
