state_abbr,state_fips,county_name,is_metro,county_code,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
SC,45,Abbeville,0,001,24368,678.00,725.00,902.00,1220.00,1225.00
LA,22,Acadia Parish,1,001,57674,607.00,671.00,880.00,1055.00,1194.00
VA,51,Accomack,0,001,33367,740.00,856.00,1054.00,1367.00,1549.00
ID,16,Ada,1,001,497494,1170.00,1381.00,1655.00,2318.00,2772.00
IA,19,Adair,0,001,7479,687.00,706.00,926.00,1201.00,1285.00
KY,21,Adair,0,001,18887,619.00,683.00,866.00,1204.00,1246.00
MO,29,Adair,0,001,25299,706.00,708.00,888.00,1235.00,1490.00
OK,40,Adair,0,001,19726,655.00,714.00,937.00,1161.00,1252.00
CO,08,Adams,1,001,520149,1643.00,1754.00,2089.00,2734.00,3049.00
ID,16,Adams,0,003,4464,768.00,773.00,973.00,1353.00,1632.00
IL,17,Adams,0,001,65583,734.00,811.00,1064.00,1327.00,1500.00
IN,18,Adams,0,001,35827,695.00,872.00,956.00,1227.00,1266.00
IA,19,Adams,0,003,3680,692.00,711.00,933.00,1217.00,1235.00
MS,28,Adams,0,001,29425,727.00,768.00,842.00,1111.00,1115.00
NE,31,Adams,0,001,31143,711.00,811.00,961.00,1268.00,1272.00
ND,38,Adams,0,001,2190,697.00,702.00,873.00,1214.00,1464.00
OH,39,Adams,0,001,27509,736.00,785.00,973.00,1220.00,1288.00
PA,42,Adams,1,001,104604,1006.00,1099.00,1374.00,1834.00,1939.00
WA,53,Adams,0,001,20557,795.00,863.00,1133.00,1576.00,1901.00
WI,55,Adams,0,001,20730,767.00,818.00,973.00,1236.00,1288.00
VT,50,Addison,0,001,1148,1117.00,1124.00,1438.00,1761.00,2117.00
PR,72,Adjuntas Municipio,0,001,17972,461.00,479.00,531.00,743.00,805.00
PR,72,Aguada Municipio,1,003,37998,480.00,482.00,564.00,680.00,756.00
PR,72,Aguadilla Municipio,1,005,54752,480.00,482.00,564.00,680.00,756.00
PR,72,Aguas Buenas Municipio,1,007,24136,559.00,572.00,663.00,868.00,1046.00
PR,72,Aibonito Municipio,1,009,24555,429.00,433.00,493.00,621.00,704.00
SC,45,Aiken,1,003,169865,939.00,1114.00,1261.00,1627.00,1984.00
MN,27,Aitkin,0,001,15859,737.00,742.00,973.00,1353.00,1471.00
FL,12,Alachua,1,001,279729,1154.00,1246.00,1493.00,1868.00,1977.00
NC,37,Alamance,1,001,171779,992.00,1230.00,1348.00,1670.00,1972.00
CA,06,Alameda,1,001,1663823,2142.00,2385.00,2912.00,3724.00,4413.00
CO,08,Alamosa,0,003,16460,766.00,833.00,999.00,1389.00,1676.00
NY,36,Albany,1,001,315041,1217.00,1417.00,1702.00,2041.00,2253.00
WY,56,Albany,0,001,37525,709.00,786.00,963.00,1339.00,1615.00
VA,51,Albemarle,1,003,112513,1421.00,1602.00,1824.00,2218.00,2731.00
MI,26,Alcona,0,001,10238,689.00,807.00,973.00,1333.00,1380.00
MS,28,Alcorn,0,003,34717,727.00,768.00,842.00,1158.00,1162.00
AK,02,Aleutians East Borough,0,013,3407,993.00,1263.00,1385.00,1661.00,2281.00
AK,02,Aleutians West Census Area,0,016,5219,1571.00,1670.00,2191.00,2652.00,2901.00
IL,17,Alexander,1,003,5261,763.00,807.00,992.00,1380.00,1664.00
NC,37,Alexander,1,003,36505,858.00,908.00,1095.00,1372.00,1660.00
VA,51,Alexandria city,1,510,157594,1953.00,2015.00,2246.00,2835.00,3332.00
OK,40,Alfalfa,0,003,5683,705.00,714.00,937.00,1303.00,1572.00
MI,26,Alger,0,003,8866,759.00,817.00,1072.00,1285.00,1419.00
IA,19,Allamakee,0,005,14046,682.00,754.00,919.00,1278.00,1399.00
MI,26,Allegan,0,005,120189,959.00,966.00,1267.00,1583.00,1761.00
MD,24,Allegany,0,001,68161,694.00,823.00,973.00,1333.00,1452.00
NY,36,Allegany,0,003,47222,750.00,754.00,974.00,1243.00,1464.00
NC,37,Alleghany,0,005,10989,740.00,745.00,978.00,1173.00,1470.00
VA,51,Alleghany,0,005,15159,773.00,778.00,914.00,1259.00,1358.00
PA,42,Allegheny,1,003,1245310,1001.00,1077.00,1299.00,1661.00,1789.00
IN,18,Allen,1,003,385456,892.00,916.00,1113.00,1381.00,1512.00
KS,20,Allen,0,001,12554,689.00,727.00,877.00,1216.00,1276.00
KY,21,Allen,1,003,20773,759.00,759.00,996.00,1224.00,1520.00
OH,39,Allen,1,003,102087,839.00,844.00,1108.00,1338.00,1493.00
LA,22,Allen Parish,0,003,22798,601.00,754.00,834.00,1048.00,1249.00
