region_id,county_name,state_fips,state_abbr,metro_code,county_code,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
3101,Los Angeles,06,CA,Los Angeles-Long Beach-Anaheim,037,2653.21,2662.72,2676.20,2687.07,2698.01,2707.15,2716.65,2721.43,2726.34,2723.96,2720.80,2714.91,2737.13,2760.65,2784.49,2781.30,2783.77,2785.99,2790.53,2791.48,2792.56,2789.77,2782.15,2772.00,2773.91,2780.78,2793.54
139,Cook,17,IL,Chicago-Naperville-Elgin,031,1984.46,2001.52,2018.88,2039.85,2057.21,2073.34,2081.02,2082.18,2077.64,2073.63,2072.25,2075.41,2085.98,2105.11,2128.80,2153.27,2175.89,2196.89,2208.33,2212.35,2209.27,2201.60,2195.47,2192.54,2207.17,2228.84,2256.27
1090,Harris,48,TX,Houston-The Woodlands-Sugar Land,201,1554.93,1559.21,1562.14,1568.67,1575.79,1583.57,1587.44,1590.91,1592.19,1590.77,1585.65,1582.05,1581.84,1585.48,1594.18,1599.82,1602.80,1595.94,1596.98,1596.29,1598.69,1592.02,1584.54,1578.33,1576.48,1574.66,1576.78
2402,Maricopa,04,AZ,Phoenix-Mesa-Chandler,013,1722.24,1730.09,1738.55,1745.75,1750.03,1753.32,1755.11,1754.15,1750.66,1741.29,1732.46,1725.60,1727.58,1735.74,1744.14,1748.17,1747.02,1745.90,1744.25,1739.93,1736.30,1729.36,1720.56,1715.22,1715.56,1722.90,1728.45
2841,San Diego,06,CA,San Diego-Chula Vista-Carlsbad,073,2747.90,2757.25,2773.42,2791.90,2809.02,2824.38,2835.47,2837.80,2836.57,2833.41,2830.37,2823.61,2825.31,2833.21,2849.54,2860.03,2870.11,2880.11,2885.47,2891.37,2888.56,2884.63,2869.43,2861.79,2864.48,2877.89,2889.90
1286,Orange,06,CA,Los Angeles-Long Beach-Anaheim,059,2965.01,2969.26,2967.65,2973.44,2983.39,3001.46,3021.29,3036.53,3043.39,3042.94,3036.24,3029.27,3035.11,3048.37,3068.24,3080.71,3091.99,3104.42,3108.55,3117.90,3122.06,3123.19,3121.05,3117.02,3120.45,3127.27,3141.41
581,Kings,36,NY,New York-Newark-Jersey City,047,3196.34,3222.30,3250.42,3278.21,3312.72,3349.03,3375.25,3379.66,3365.02,3342.59,3319.07,3293.98,3289.22,3310.81,3354.60,3399.74,3435.37,3478.32,3511.10,3535.74,3524.46,3505.38,3473.43,3458.79,3463.11,3491.80,3532.43
2964,Miami-Dade,12,FL,Miami-Fort Lauderdale-Pompano Beach,086,2751.80,2761.33,2778.85,2794.23,2803.92,2807.89,2809.86,2808.89,2810.78,2810.82,2807.54,2806.02,2809.28,2816.72,2823.48,2827.62,2835.45,2837.13,2835.42,2823.43,2815.25,2809.51,2809.42,2807.84,2805.89,2811.47,2821.36
978,Dallas,48,TX,Dallas-Fort Worth-Arlington,113,1617.38,1616.20,1617.42,1622.27,1627.83,1636.83,1643.14,1645.26,1640.83,1634.30,1628.42,1622.89,1618.73,1620.20,1627.63,1638.75,1644.96,1649.14,1648.06,1644.26,1639.20,1634.81,1632.93,1627.50,1624.11,1625.74,1634.21
2832,Riverside,06,CA,Riverside-San Bernardino-Ontario,065,2384.65,2399.36,2410.73,2421.62,2428.27,2432.10,2446.55,2453.01,2469.10,2467.38,2463.84,2466.71,2478.72,2486.70,2487.04,2488.57,2499.40,2503.92,2503.62,2504.94,2509.60,2510.57,2509.92,2513.51,2521.44,2525.99,2536.46
