state,state_abbr,state_fips,msa_code,metro_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_2,adults_2_children_3
Alabama,AL,01,33860,Montgomery,4288,6290,9424,12543,7861,9756,12549,15310
Alabama,AL,01,46220,Tuscaloosa,4644,6813,10208,13585,8514,10567,13592,16583
Alabama,AL,01,19460,Decatur,4163,6106,9149,12177,7632,9471,12182,14864
Alabama,AL,01,23460,Gadsden,4253,6239,9348,12441,7797,9677,12447,15186
Alabama,AL,01,19300,Daphne-Fairhope-Foley,4685,6873,10298,13706,8590,10660,13712,16730
Alabama,AL,01,26620,Huntsville,4430,6499,9737,12960,8122,10080,12965,15819
Alabama,AL,01,22520,Florence-Muscle Shoals,4193,6151,9217,12267,7688,9541,12272,14973
Alabama,AL,01,20020,Dothan,4333,6357,9524,12676,7944,9860,12682,15473
Alabama,AL,01,11500,Anniston-Oxford,4171,6119,9168,12202,7647,9491,12207,14894
Alabama,AL,01,33660,Mobile,4253,6239,9348,12441,7797,9677,12447,15186
Alabama,AL,01,12220,Auburn-Opelika,4703,6900,10338,13759,8623,10702,13765,16795
Alabama,AL,01,13820,Birmingham,4500,6601,9891,13164,8250,10239,13170,16068
Alaska,AK,02,11260,Anchorage,5253,7706,11547,15368,9631,11953,15374,18758
Alaska,AK,02,21820,Fairbanks-College,5176,7593,11377,15141,9489,11777,15148,18482
Arizona,AZ,04,38060,Phoenix-Mesa-Chandler,4167,6112,9158,12189,7639,9480,12194,14878
Arizona,AZ,04,39150,Prescott Valley-Prescott,4452,6530,9784,13022,8161,10129,13028,15895
Arizona,AZ,04,49740,Yuma,3727,5468,8192,10903,6833,8480,10908,13309
Arizona,AZ,04,22380,Flagstaff,4487,6582,9861,13125,8225,10208,13131,16020
Arizona,AZ,04,43420,Sierra Vista-Douglas,3949,5793,8680,11553,7240,8985,11558,14101
Arizona,AZ,04,29420,Lake Havasu City-Kingman,4136,6067,9091,12099,7583,9411,12105,14769
Arizona,AZ,04,46060,Tucson,4101,6016,9014,11997,7519,9331,12002,14644
Arkansas,AR,05,22220,Fayetteville-Springdale-Rogers,4159,6102,9142,12167,7626,9464,12173,14852
Arkansas,AR,05,27860,Jonesboro,3865,5670,8495,11307,7086,8794,11312,13801
Arkansas,AR,05,22900,Fort Smith,3877,5688,8522,11342,7108,8822,11347,13845
Arkansas,AR,05,30780,Little Rock-North Little Rock-Conway,4168,6114,9161,12193,7641,9483,12198,14883
Arkansas,AR,05,26300,Hot Springs,4066,5965,8937,11894,7454,9251,11900,14519
California,CA,06,44700,Stockton-Lodi,4405,6462,9682,12886,8076,10022,12891,15728
California,CA,06,41940,San Jose-Sunnyvale-Santa Clara,5046,7402,11091,14761,9251,11481,14767,18017
California,CA,06,20940,El Centro,3575,5245,7858,10459,6555,8135,10463,12766
California,CA,06,17020,Chico,4685,6873,10298,13706,8590,10660,13712,16730
California,CA,06,42020,San Luis Obispo-Paso Robles,5153,7559,11325,15073,9446,11724,15080,18398
California,CA,06,42220,Santa Rosa-Petaluma,5328,7816,11710,15586,9768,12122,15593,19024
California,CA,06,47300,Visalia,4066,5965,8937,11894,7454,9251,11900,14519
California,CA,06,31080,Los Angeles-Long Beach-Anaheim,4503,6606,9898,13174,8256,10246,13180,16080
California,CA,06,34900,Napa,5386,7901,11839,15757,9875,12255,15764,19233
California,CA,06,41740,San Diego-Chula Vista-Carlsbad,4487,6582,9861,13125,8225,10208,13131,16020
California,CA,06,40900,Sacramento-Roseville-Folsom,4658,6834,10239,13627,8540,10599,13633,16634
California,CA,06,41500,Salinas,4393,6445,9656,12851,8054,9996,12857,15687
California,CA,06,33700,Modesto,4440,6513,9759,12988,8140,10102,12994,15854
California,CA,06,32900,Merced,4195,6153,9219,12270,7690,9544,12276,14977
California,CA,06,40140,Riverside-San Bernardino-Ontario,4066,5965,8937,11894,7454,9251,11900,14518
California,CA,06,42100,Santa Cruz-Watsonville,5702,8364,12532,16679,10453,12973,16687,20359
California,CA,06,46700,Vallejo,4452,6530,9784,13022,8161,10129,13028,15895
California,CA,06,23420,Fresno,4205,6169,9242,12301,7709,9568,12307,15015
California,CA,06,42200,Santa Maria-Santa Barbara,4463,6547,9810,13056,8183,10155,13062,15937
California,CA,06,12540,Bakersfield-Delano,4043,5930,8885,11826,7411,9198,11831,14435
California,CA,06,37100,Oxnard-Thousand Oaks-Ventura,4627,6787,10170,13535,8483,10527,13541,16521
California,CA,06,41860,San Francisco-Oakland-Fremont,5313,7794,11678,15542,9741,12089,15549,18972
California,CA,06,25260,Hanford-Corcoran,3984,5845,8757,11655,7304,9065,11660,14226
California,CA,06,39820,Redding,4568,6702,10041,13364,8375,10394,13370,16312
California,CA,06,49700,Yuba City,4131,6060,9079,12084,7573,9398,12089,14749
Colorado,CO,08,14500,Boulder,5199,7627,11428,15210,9532,11830,15216,18565
Colorado,CO,08,24540,Greeley,4487,6582,9861,13125,8225,10208,13131,16020
Colorado,CO,08,39380,Pueblo,4078,5982,8963,11928,7476,9278,11934,14560
Colorado,CO,08,22660,Fort Collins-Loveland,4720,6924,10375,13808,8654,10740,13815,16855
Colorado,CO,08,19740,Denver-Aurora-Centennial,4666,6844,10255,13649,8554,10616,13655,16660
Colorado,CO,08,17820,Colorado Springs,4420,6484,9715,12930,8103,10056,12935,15782
Colorado,CO,08,24300,Grand Junction,4358,6393,9579,12749,7990,9916,12754,15562
Connecticut,CT,09,14860,Bridgeport-Stamford-Danbury,4756,6977,10454,13914,8720,10822,13920,16984
Connecticut,CT,09,35300,New Haven,4557,6685,10015,13330,8354,10368,13336,16271
Connecticut,CT,09,25540,Hartford-West Hartford-East Hartford,4614,6768,10140,13496,8458,10497,13502,16473
Connecticut,CT,09,35980,Norwich-New London-Willimantic,4931,7233,10837,14424,9039,11218,14430,17606
Connecticut,CT,09,47930,Waterbury-Shelton,4557,6685,10015,13330,8354,10368,13336,16271
Delaware,DE,10,20100,Dover,4031,5913,8860,11792,7390,9172,11797,14393
District of Columbia,DC,11,47900,Washington-Arlington-Alexandria,4998,7332,10986,14621,9163,11372,14627,17847
Florida,FL,12,18880,Crestview-Fort Walton Beach-Destin,4667,6847,10258,13653,8557,10619,13659,16665
Florida,FL,12,35840,North Port-Bradenton-Sarasota,4840,7100,10638,14159,8874,11013,14165,17283
