region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
102001,United States,99,US,1802.13,1809.73,1820.14,1830.75,1841.78,1851.41,1858.78,1861.88,1861.62,1857.82,1854.34,1851.89,1855.92,1864.02,1875.85,1886.10,1894.92,1901.44,1905.09,1906.24,1904.92,1901.31,1895.64,1891.14,1892.44,1899.58,1910.42
394913,New York,36,NY,3030.45,3048.35,3076.06,3103.66,3133.65,3160.42,3176.73,3182.43,3173.30,3160.47,3151.31,3147.44,3157.34,3174.17,3202.10,3230.82,3258.71,3290.54,3320.70,3341.25,3338.78,3326.15,3305.46,3293.37,3290.78,3308.01,3337.14
753899,Los Angeles,06,CA,2744.27,2754.44,2767.06,2775.89,2786.77,2798.21,2810.20,2816.77,2820.98,2817.89,2813.33,2806.99,2825.84,2847.73,2871.34,2873.04,2878.63,2884.34,2888.50,2890.08,2889.81,2886.80,2879.90,2870.94,2873.47,2880.68,2894.90
394463,Chicago,17,IL,1924.99,1940.02,1955.33,1974.56,1991.37,2007.63,2016.98,2020.73,2019.47,2017.45,2016.39,2019.37,2027.96,2045.12,2064.97,2087.21,2107.43,2126.66,2137.96,2142.05,2140.20,2134.36,2129.12,2127.10,2138.41,2157.03,2179.82
394514,Dallas,48,TX,1635.07,1634.22,1638.26,1643.66,1650.28,1656.70,1660.39,1660.54,1654.84,1648.01,1638.86,1631.85,1629.56,1634.98,1645.97,1656.96,1663.01,1665.13,1663.36,1659.93,1654.75,1648.25,1641.73,1635.82,1633.59,1637.28,1644.54
394692,Houston,48,TX,1581.76,1586.31,1590.42,1598.23,1606.66,1615.29,1619.69,1622.54,1622.71,1620.47,1615.03,1611.56,1610.97,1615.26,1623.79,1630.07,1633.65,1628.46,1629.99,1628.88,1630.15,1624.04,1617.27,1612.62,1610.30,1608.72,1609.77
395209,Washington,51,VA,2214.31,2228.33,2248.59,2267.97,2288.09,2308.27,2324.30,2330.99,2328.63,2319.38,2309.37,2303.03,2311.41,2327.61,2349.45,2363.02,2371.68,2376.23,2375.41,2371.32,2361.08,2347.40,2331.05,2320.12,2321.32,2332.47,2346.93
394974,Philadelphia,42,PA,1725.88,1734.79,1745.24,1755.95,1765.43,1774.29,1780.39,1784.09,1786.04,1788.00,1790.18,1794.34,1799.13,1804.41,1808.08,1813.67,1820.38,1829.10,1841.81,1847.86,1852.51,1850.61,1849.45,1849.77,1851.95,1862.18,1868.83
394856,Miami,12,FL,2589.89,2595.32,2605.64,2613.20,2616.93,2621.05,2626.72,2631.58,2636.90,2637.28,2636.35,2634.82,2636.56,2641.34,2647.29,2650.99,2653.38,2654.84,2656.55,2657.29,2656.13,2654.91,2653.88,2652.11,2651.39,2655.89,2665.17
394347,Atlanta,13,GA,1741.56,1750.74,1757.85,1763.47,1768.85,1776.22,1781.07,1780.64,1780.35,1774.04,1767.32,1760.58,1765.00,1777.52,1789.82,1797.21,1801.50,1806.19,1813.60,1819.52,1823.39,1818.91,1810.71,1802.05,1802.61,1805.46,1811.36
394404,Boston,25,MA,2939.84,2957.72,2983.38,3007.82,3029.37,3043.72,3051.12,3035.11,3020.17,3003.77,3013.01,3023.52,3046.91,3062.62,3087.23,3105.00,3123.96,3129.65,3126.44,3116.55,3102.22,3091.15,3084.54,3089.21,3104.28,3121.50,3148.34
394976,Phoenix,04,AZ,1727.11,1734.57,1743.32,1750.92,1755.51,1758.49,1759.85,1758.84,1755.64,1746.85,1737.67,1730.97,1732.32,1740.96,1749.51,1754.00,1752.82,1751.33,1749.71,1745.49,1741.98,1735.22,1727.01,1721.52,1722.10,1729.25,1735.38
395057,San Francisco,06,CA,2826.28,2840.93,2864.14,2881.65,2897.36,2910.58,2921.63,2927.36,2923.99,2916.86,2915.89,2912.83,2924.28,2941.90,2972.08,3000.19,3022.51,3044.97,3061.67,3076.94,3087.72,3092.41,3086.69,3082.18,3095.58,3127.67,3161.38
395025,Riverside,06,CA,2336.46,2346.75,2364.27,2376.32,2385.76,2390.65,2402.61,2410.59,2421.88,2420.76,2417.97,2417.26,2426.24,2438.81,2448.03,2456.39,2463.35,2466.87,2466.56,2466.50,2468.69,2468.13,2464.68,2465.70,2471.55,2482.49,2492.87
394532,Detroit,26,MI,1361.72,1364.29,1374.71,1384.22,1397.13,1404.73,1412.92,1418.29,1420.91,1423.81,1422.50,1425.81,1426.50,1434.42,1439.82,1449.00,1453.35,1458.32,1459.60,1463.64,1464.22,1464.16,1460.12,1463.10,1466.22,1469.22,1473.32
395078,Seattle,53,WA,2060.99,2076.69,2094.51,2111.89,2131.51,2147.00,2158.62,2158.99,2152.27,2140.07,2130.17,2124.27,2129.80,2142.94,2158.43,2172.68,2187.82,2206.00,2214.84,2214.25,2207.47,2198.69,2188.93,2178.97,2177.51,2182.69,2191.57
394865,Minneapolis,27,MN,1552.95,1564.13,1576.15,1587.09,1594.44,1598.91,1599.20,1600.75,1601.16,1597.66,1592.80,1591.93,1599.25,1611.51,1622.52,1634.29,1643.35,1655.40,1660.82,1664.05,1663.10,1662.57,1659.33,1662.39,1664.81,1674.97,1681.26
395056,San Diego,06,CA,2747.90,2757.25,2773.42,2791.90,2809.02,2824.38,2835.47,2837.80,2836.57,2833.41,2830.37,2823.61,2825.31,2833.21,2849.54,2860.03,2870.11,2880.11,2885.47,2891.37,2888.56,2884.63,2869.43,2861.79,2864.48,2877.89,2889.90
395148,Tampa,12,FL,1944.62,1946.61,1951.96,1955.26,1958.24,1959.98,1965.86,1967.10,1966.88,1972.09,1982.73,1994.63,2001.72,2010.46,2020.14,2022.51,2021.86,2019.36,2017.18,2012.66,2003.40,1994.83,1985.26,1981.34,1978.61,1983.37,1987.88
394530,Denver,08,CO,1883.86,1892.21,1910.31,1922.31,1936.55,1943.83,1949.37,1947.28,1939.20,1917.64,1892.82,1869.14,1862.60,1865.97,1880.92,1898.26,1912.53,1920.96,1918.96,1911.49,1897.16,1878.55,1860.28,1844.61,1841.74,1846.91,1857.64
394358,Baltimore,24,MD,1736.78,1743.48,1754.41,1766.89,1781.96,1794.22,1801.82,1806.76,1806.35,1806.59,1803.81,1805.02,1811.33,1818.80,1829.10,1834.09,1841.23,1844.16,1851.31,1856.58,1861.01,1857.07,1854.18,1852.58,1859.80,1864.23,1868.40
395121,Saint Louis,29,MO,1284.04,1290.13,1301.47,1314.63,1325.19,1334.90,1341.19,1345.78,1345.12,1345.46,1346.68,1351.34,1356.43,1360.53,1364.35,1372.01,1376.99,1382.49,1385.91,1397.14,1398.65,1401.55,1399.17,1401.62,1406.43,1409.27,1415.99
394943,Orlando,12,FL,1898.26,1902.68,1913.17,1923.10,1935.46,1944.92,1951.26,1950.01,1943.88,1930.29,1919.77,1912.91,1917.11,1926.30,1938.18,1945.81,1951.58,1956.76,1955.59,1955.50,1949.41,1941.18,1930.19,1922.78,1926.05,1930.45,1937.26
394458,Charlotte,37,NC,1676.25,1681.56,1683.93,1691.19,1699.50,1710.30,1716.50,1718.37,1714.86,1705.70,1699.83,1695.51,1699.56,1708.63,1718.48,1727.33,1733.28,1739.60,1741.73,1740.30,1735.86,1729.01,1721.38,1713.41,1712.35,1717.19,1726.39
395055,San Antonio,48,TX,1414.11,1414.48,1419.93,1426.23,1431.18,1433.79,1434.60,1434.38,1427.61,1413.10,1400.18,1393.62,1397.31,1404.89,1413.33,1418.16,1421.68,1422.10,1424.26,1418.84,1410.96,1399.69,1390.74,1381.39,1380.64,1382.70,1391.12
394998,Portland,41,OR,1696.46,1707.09,1721.64,1738.19,1754.23,1769.14,1778.65,1780.09,1779.60,1771.96,1763.71,1752.27,1749.91,1755.07,1764.33,1775.97,1786.33,1797.77,1804.71,1806.74,1801.80,1792.63,1780.60,1770.53,1767.05,1771.75,1779.75
395045,Sacramento,06,CA,2111.10,2119.17,2133.23,2149.06,2162.49,2172.67,2181.14,2190.08,2189.47,2186.38,2182.72,2172.52,2171.80,2171.09,2187.90,2199.30,2212.76,2222.99,2230.05,2236.47,2234.18,2231.30,2221.72,2217.33,2213.85,2216.87,2224.77
394982,Pittsburgh,42,PA,1356.74,1364.23,1368.06,1372.20,1381.22,1392.38,1399.38,1404.85,1406.06,1407.16,1403.17,1404.12,1408.34,1414.73,1422.44,1432.34,1441.68,1455.01,1462.58,1463.72,1463.18,1459.84,1463.43,1461.03,1465.57,1469.28,1478.55
394466,Cincinnati,39,OH,1422.90,1430.77,1438.93,1447.44,1456.68,1465.87,1473.00,1481.90,1483.98,1486.09,1488.08,1485.30,1486.12,1484.25,1494.51,1501.95,1515.63,1523.40,1531.91,1536.18,1535.66,1532.48,1524.52,1521.43,1526.48,1536.35,1549.06
394355,Austin,48,TX,1671.48,1668.81,1668.76,1674.56,1681.29,1683.86,1679.38,1665.68,1651.25,1632.94,1618.88,1609.21,1607.24,1610.37,1616.72,1623.22,1631.00,1631.06,1622.59,1608.13,1594.55,1583.87,1572.79,1565.33,1564.66,1572.10,1579.03
394775,Las Vegas,32,NV,1678.78,1681.67,1692.04,1705.88,1723.00,1732.81,1734.60,1733.03,1727.31,1720.10,1712.77,1707.72,1713.54,1722.21,1732.94,1736.68,1740.01,1741.23,1741.79,1740.67,1732.68,1727.03,1717.23,1714.59,1714.43,1721.52,1726.84
394735,Kansas City,29,MO,1368.53,1374.86,1382.67,1392.66,1405.93,1417.24,1426.97,1431.20,1429.87,1426.45,1422.25,1422.98,1434.57,1443.93,1456.92,1464.15,1473.32,1482.90,1488.47,1495.52,1493.63,1490.83,1486.16,1486.34,1489.27,1495.17,1503.32
394492,Columbus,39,OH,1404.43,1409.06,1414.64,1428.45,1440.41,1456.77,1466.85,1473.42,1474.49,1470.73,1468.09,1464.81,1470.40,1475.13,1488.25,1496.42,1508.64,1515.31,1516.29,1514.94,1514.27,1517.14,1508.16,1498.32,1494.09,1501.38,1513.55
394705,Indianapolis,18,IN,1392.87,1401.25,1411.06,1419.17,1428.45,1435.56,1448.41,1452.73,1456.44,1449.68,1448.25,1449.74,1459.13,1466.26,1475.27,1482.44,1493.68,1501.76,1508.63,1505.93,1505.31,1502.92,1504.57,1500.92,1503.68,1505.13,1513.51
394475,Cleveland,39,OH,1263.05,1270.60,1275.11,1286.17,1296.76,1310.33,1317.60,1322.35,1323.35,1326.16,1333.34,1340.23,1348.53,1349.39,1356.87,1361.11,1369.40,1374.52,1378.94,1381.81,1388.28,1394.79,1397.63,1400.66,1408.18,1417.69,1418.93
395059,San Jose,06,CA,3131.10,3162.58,3194.06,3217.10,3249.69,3276.89,3304.33,3310.47,3305.55,3288.73,3268.83,3252.95,3257.70,3278.03,3310.02,3336.21,3362.22,3388.00,3409.80,3427.11,3425.54,3416.03,3408.25,3412.01,3423.07,3445.50,3469.71
