region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
102001,United States,99,US,2066.70,2077.47,2091.37,2103.61,2114.64,2123.46,2131.21,2136.41,2137.95,2137.36,2138.58,2141.07,2148.34,2157.83,2170.07,2180.71,2189.85,2196.70,2201.43,2204.45,2205.71,2204.89,2202.60,2201.77,2205.34,2213.35,2225.13
394913,New York,36,NY,3377.02,3403.51,3436.98,3454.05,3469.25,3474.89,3489.80,3501.04,3492.86,3483.78,3492.98,3526.41,3546.04,3545.94,3548.31,3568.12,3597.22,3618.05,3626.68,3632.76,3625.88,3632.94,3647.15,3652.84,3662.39,3670.37,3699.76
753899,Los Angeles,06,CA,4085.46,4107.76,4131.99,4154.23,4165.96,4182.47,4198.30,4209.74,4214.24,4210.22,4217.41,4220.19,4290.96,4345.70,4402.22,4386.56,4382.73,4382.43,4382.21,4379.65,4373.95,4365.95,4365.19,4356.17,4361.92,4371.37,4407.81
394463,Chicago,17,IL,2203.39,2215.86,2234.28,2253.68,2271.80,2285.50,2298.66,2311.66,2319.54,2323.29,2325.48,2334.72,2342.65,2364.33,2379.10,2395.30,2407.45,2418.46,2437.85,2443.12,2449.40,2443.28,2441.14,2439.28,2450.10,2463.95,2478.97
394514,Dallas,48,TX,2237.48,2244.79,2259.90,2271.64,2277.65,2285.29,2289.36,2291.70,2286.26,2279.36,2273.14,2269.04,2272.38,2283.88,2302.65,2315.14,2321.74,2319.80,2317.80,2311.01,2309.14,2307.27,2304.48,2298.73,2299.52,2307.38,2313.30
394692,Houston,48,TX,2052.88,2065.60,2074.59,2086.71,2093.81,2105.01,2111.68,2117.32,2116.18,2113.02,2111.61,2113.61,2116.48,2121.28,2129.45,2139.05,2145.15,2145.79,2146.24,2145.75,2145.34,2141.58,2137.39,2134.84,2134.88,2135.22,2140.65
395209,Washington,51,VA,2875.16,2887.66,2909.60,2935.55,2956.60,2977.80,2991.32,3001.55,3003.15,2997.79,3001.51,2996.82,3016.18,3033.01,3065.80,3075.53,3083.42,3088.96,3101.66,3107.63,3109.29,3096.07,3086.05,3075.25,3094.50,3112.34,3144.29
394974,Philadelphia,42,PA,2006.57,2015.21,2031.63,2042.12,2053.24,2057.68,2060.13,2069.64,2079.62,2093.75,2102.29,2114.81,2122.14,2130.46,2126.59,2130.67,2135.28,2143.65,2155.35,2159.68,2168.73,2169.22,2171.09,2174.02,2179.53,2192.92,2204.41
394856,Miami,12,FL,3157.71,3164.71,3181.02,3196.90,3205.16,3212.89,3223.66,3235.52,3243.18,3237.93,3239.59,3242.90,3246.77,3250.18,3259.83,3272.10,3276.80,3282.59,3287.21,3286.53,3279.49,3286.03,3282.94,3289.84,3283.90,3293.35,3302.64
394347,Atlanta,13,GA,2055.47,2076.00,2090.86,2097.86,2099.94,2109.70,2119.58,2128.67,2127.02,2124.61,2121.87,2125.49,2132.44,2148.90,2159.05,2171.16,2175.79,2184.38,2192.84,2200.98,2206.48,2203.39,2196.31,2190.56,2191.19,2197.18,2203.66
394404,Boston,25,MA,3435.29,3448.95,3456.12,3470.42,3489.09,3513.46,3529.58,3533.45,3523.75,3521.26,3542.62,3532.50,3516.75,3496.77,3533.94,3582.85,3627.80,3643.06,3635.03,3641.12,3646.72,3663.28,3649.47,3655.98,3680.77,3697.91,3733.34
394976,Phoenix,04,AZ,2200.12,2210.95,2223.55,2232.88,2239.72,2243.91,2246.96,2248.89,2247.87,2241.31,2238.61,2239.11,2240.58,2250.81,2262.66,2276.73,2280.57,2280.09,2279.79,2275.01,2272.66,2266.73,2261.84,2262.36,2265.81,2274.47,2280.45
395057,San Francisco,06,CA,3691.73,3707.10,3730.88,3757.59,3784.06,3806.52,3819.82,3824.62,3814.84,3800.77,3803.42,3790.94,3804.21,3821.87,3853.10,3889.08,3912.42,3945.67,3952.53,3958.66,3953.44,3960.68,3957.66,3954.04,3958.25,3995.75,4030.21
