state,state_abbr,state_fips,filing_status,bracket_order,min_income,max_income,tax_rate,tax_year
99,U.S.,US,Single ,1,0,11925,0.10,2026
100,U.S.,US,Single ,2,11926,48475,0.12,2026
101,U.S.,US,Single ,3,48476,103350,0.22,2026
102,U.S.,US,Single ,4,103351,197300,0.24,2026
103,U.S.,US,Single ,5,197301,250525,0.32,2026
104,U.S.,US,Single ,6,250526,626350,0.35,2026
105,U.S.,US,Single ,7,626351,999999999,0.37,2026
106,U.S.,US,Married,1,0,23850,0.10,2026
107,U.S.,US,Married,2,23851,96950,0.12,2026
108,U.S.,US,Married,3,96951,206700,0.22,2026
109,U.S.,US,Married,4,206701,394600,0.24,2026
110,U.S.,US,Married,5,394601,501050,0.32,2026
111,U.S.,US,Married,6,501051,751600,0.35,2026
112,U.S.,US,Married,7,751601,999999999,0.37,2026
113,U.S.,US,Married Separate,1,0,11925,0.10,2026
114,U.S.,US,Married Separate,2,11926,48475,0.12,2026
115,U.S.,US,Married Separate,3,48476,103350,0.22,2026
116,U.S.,US,Married Separate,4,103351,197300,0.24,2026
117,U.S.,US,Married Separate,5,197301,250525,0.32,2026
118,U.S.,US,Married Separate,6,250526,375800,0.35,2026
119,U.S.,US,Married Separate,7,375801,999999999,0.37,2026
120,U.S.,US,Head Household,1,0,17000,0.10,2026
121,U.S.,US,Head Household,2,17001,64850,0.12,2026
122,U.S.,US,Head Household,3,64851,103350,0.22,2026
123,U.S.,US,Head Household,4,103351,197300,0.24,2026
124,U.S.,US,Head Household,5,197301,250500,0.32,2026
125,U.S.,US,Head Household,6,250501,626350,0.35,2026
,,,Head Household,7,626351,999999999,0.37,2026
