state,state_abbr,county_name,state_fips,county_code,county_lowest_cost,state_average_cost
Alabama,AL,Autauga,01,001,63.33,76.45
Alabama,AL,Baldwin,01,003,70.00,76.45
Alabama,AL,Barbour,01,005,67.50,76.45
Alabama,AL,Bibb,01,007,70.00,76.45
Alabama,AL,Blount,01,009,70.59,76.45
Alabama,AL,Bullock,01,011,67.97,76.45
Alabama,AL,Butler,01,013,65.00,76.45
Alabama,AL,Calhoun,01,015,65.00,76.45
Alabama,AL,Chambers,01,017,66.24,76.45
Alabama,AL,Cherokee,01,019,66.19,76.45
Alabama,AL,Chilton,01,021,67.50,76.45
Alabama,AL,Choctaw,01,023,72.45,76.45
Alabama,AL,Clarke,01,025,68.65,76.45
Alabama,AL,Clay,01,027,61.66,76.45
Alabama,AL,Cleburne,01,029,57.50,76.45
Alabama,AL,Coffee,01,031,69.99,76.45
Alabama,AL,Colbert,01,033,67.35,76.45
Alabama,AL,Conecuh,01,035,60.00,76.45
Alabama,AL,Coosa,01,037,67.50,76.45
Alabama,AL,Covington,01,039,69.99,76.45
Alabama,AL,Crenshaw,01,041,67.46,76.45
Alabama,AL,Cullman,01,043,63.33,76.45
Alabama,AL,Dale,01,045,74.99,76.45
Alabama,AL,Dallas,01,047,65.00,76.45
Alabama,AL,DeKalb,01,049,69.79,76.45
Alabama,AL,Elmore,01,051,60.00,76.45
Alabama,AL,Escambia,01,053,70.00,76.45
Alabama,AL,Etowah,01,055,69.81,76.45
Alabama,AL,Fayette,01,057,58.63,76.45
Alabama,AL,Franklin,01,059,62.31,76.45
Alabama,AL,Geneva,01,061,74.99,76.45
Alabama,AL,Greene,01,063,60.00,76.45
Alabama,AL,Hale,01,065,69.99,76.45
Alabama,AL,Henry,01,067,69.99,76.45
Alabama,AL,Houston,01,069,74.99,76.45
Alabama,AL,Jackson,01,071,70.50,76.45
Alabama,AL,Jefferson,01,073,67.50,76.45
Alabama,AL,Lamar,01,075,58.31,76.45
Alabama,AL,Lauderdale,01,077,67.50,76.45
Alabama,AL,Lawrence,01,079,65.00,76.45
Alabama,AL,Lee,01,081,63.33,76.45
Alabama,AL,Limestone,01,083,67.50,76.45
Alabama,AL,Lowndes,01,085,65.00,76.45
Alabama,AL,Macon,01,087,65.49,76.45
Alabama,AL,Madison,01,089,69.00,76.45
Alabama,AL,Marengo,01,091,60.00,76.45
Alabama,AL,Marion,01,093,59.98,76.45
Alabama,AL,Marshall,01,095,71.87,76.45
Alabama,AL,Mobile,01,097,70.00,76.45
Alabama,AL,Monroe,01,099,60.00,76.45
Alabama,AL,Montgomery,01,101,68.98,76.45
Alabama,AL,Morgan,01,103,68.24,76.45
Alabama,AL,Perry,01,105,0.00,76.45
Alabama,AL,Pickens,01,107,69.99,76.45
Alabama,AL,Pike,01,109,67.46,76.45
Alabama,AL,Randolph,01,111,76.22,76.45
Alabama,AL,Russell,01,113,67.50,76.45
Alabama,AL,Shelby,01,117,67.50,76.45
Alabama,AL,Saint Clair,01,115,69.99,76.45
Alabama,AL,Sumter,01,119,60.00,76.45
Alabama,AL,Talladega,01,121,65.00,76.45
Alabama,AL,Tallapoosa,01,123,67.50,76.45
Alabama,AL,Tuscaloosa,01,125,66.56,76.45
Alabama,AL,Walker,01,127,67.19,76.45
Alabama,AL,Washington,01,129,72.98,76.45
Alabama,AL,Wilcox,01,131,60.00,76.45
Alabama,AL,Winston,01,133,60.18,76.45
Alaska,AK,Aleutians East,02,013,0.00,109.88
Alaska,AK,Aleutians West,02,016,0.00,109.88
Alaska,AK,Anchorage,02,020,74.99,109.88
Alaska,AK,Bethel,02,050,0.00,109.88
Alaska,AK,Bristol Bay,02,060,0.00,109.88
Alaska,AK,Chugach Census Area,02,063,0.00,0.00
Alaska,AK,Denali,02,066,57.99,109.88
Alaska,AK,Dillingham,02,068,0.00,109.88
Alaska,AK,Fairbanks North Star,02,070,74.99,109.88
Alaska,AK,Haines,02,090,299.95,109.88
Alaska,AK,Hoonah-Angoon,02,100,187.47,109.88
Alaska,AK,Juneau,02,105,74.99,109.88
Alaska,AK,Kenai Peninsula,02,110,115.00,109.88
Alaska,AK,Ketchikan Gateway,02,122,74.96,109.88
Alaska,AK,Kodiak Island,02,130,115.00,109.88
Alaska,AK,Lake and Peninsula,02,150,0.00,109.88
Alaska,AK,Matanuska-Susitna,02,158,74.99,109.88
Alaska,AK,Nome,02,164,0.00,109.88
Alaska,AK,North Slope,02,170,0.00,109.88
Alaska,AK,Northwest Arctic,02,180,0.00,109.88
Alaska,AK,Petersburg,02,185,187.47,109.88
Alaska,AK,Prince of Wales-Hyder,02,188,0.00,109.88
Alaska,AK,Sitka,02,195,74.99,109.88
Alaska,AK,Skagway,02,198,299.95,109.88
Alaska,AK,Southeast Fairbanks,02,220,187.47,109.88
Alaska,AK,Valdez-Cordova,02,230,139.99,109.88
Alaska,AK,Wade Hampton,02,240,0.00,109.88
Alaska,AK,Wrangell,02,275,187.47,109.88
Alaska,AK,Yakutat,02,282,0.00,109.88
Alaska,AK,Yukon-Koyukuk,02,290,0.00,109.88
Arizona,AZ,Apache,04,001,90.95,76.82
Arizona,AZ,Cochise,04,003,83.97,76.82
Arizona,AZ,Coconino,04,005,58.36,76.82
Arizona,AZ,Gila,04,007,84.17,76.82
Arizona,AZ,Graham,04,009,59.98,76.82
Arizona,AZ,Greenlee,04,011,59.98,76.82
Arizona,AZ,La Paz,04,012,50.47,76.82
Arizona,AZ,Maricopa,04,013,79.35,76.82
Arizona,AZ,Mohave,04,015,66.97,76.82
Arizona,AZ,Navajo,04,017,55.00,76.82
Arizona,AZ,Pima,04,019,83.49,76.82
Arizona,AZ,Pinal,04,021,85.00,76.82
Arizona,AZ,Santa Cruz,04,023,59.97,76.82
Arizona,AZ,Yavapai,04,025,82.22,76.82
Arizona,AZ,Yuma,04,027,67.97,76.82
Arkansas,AR,Arkansas,05,001,50.00,78.45
Arkansas,AR,Ashley,05,003,63.33,78.45
Arkansas,AR,Baxter,05,005,55.00,78.45
Arkansas,AR,Benton,05,007,72.85,78.45
Arkansas,AR,Boone,05,009,63.65,78.45
Arkansas,AR,Bradley,05,011,77.98,78.45
Arkansas,AR,Calhoun,05,013,60.00,78.45
Arkansas,AR,Carroll,05,015,70.24,78.45
Arkansas,AR,Chicot,05,017,42.50,78.45
Arkansas,AR,Clark,05,019,48.31,78.45
Arkansas,AR,Clay,05,021,52.50,78.45
Arkansas,AR,Cleburne,05,023,54.99,78.45
Arkansas,AR,Cleveland,05,025,77.98,78.45
Arkansas,AR,Columbia,05,027,62.98,78.45
Arkansas,AR,Conway,05,029,47.50,78.45
Arkansas,AR,Craighead,05,031,63.71,78.45
Arkansas,AR,Crawford,05,033,64.16,78.45
Arkansas,AR,Crittenden,05,035,65.82,78.45
Arkansas,AR,Cross,05,037,69.98,78.45
Arkansas,AR,Dallas,05,039,54.98,78.45
Arkansas,AR,Desha,05,041,42.50,78.45
Arkansas,AR,Drew,05,043,42.50,78.45
Arkansas,AR,Faulkner,05,045,56.99,78.45
Arkansas,AR,Franklin,05,047,50.49,78.45
Arkansas,AR,Fulton,05,049,77.47,78.45
Arkansas,AR,Garland,05,051,63.12,78.45
Arkansas,AR,Grant,05,053,63.65,78.45
Arkansas,AR,Greene,05,055,65.99,78.45
Arkansas,AR,Hempstead,05,057,51.18,78.45
Arkansas,AR,Hot Spring,05,059,43.72,78.45
Arkansas,AR,Howard,05,061,56.48,78.45
Arkansas,AR,Independence,05,063,69.99,78.45
Arkansas,AR,Izard,05,065,89.95,78.45
Arkansas,AR,Jackson,05,067,56.25,78.45
Arkansas,AR,Jefferson,05,069,57.18,78.45
Arkansas,AR,Johnson,05,071,50.00,78.45
Arkansas,AR,Lafayette,05,073,62.48,78.45
Arkansas,AR,Lawrence,05,075,69.99,78.45
Arkansas,AR,Lee,05,077,55.98,78.45
Arkansas,AR,Lincoln,05,079,77.98,78.45
Arkansas,AR,Little River,05,081,59.98,78.45
Arkansas,AR,Logan,05,083,50.49,78.45
Arkansas,AR,Lonoke,05,085,65.99,78.45
Arkansas,AR,Madison,05,087,58.31,78.45
Arkansas,AR,Marion,05,089,56.48,78.45
Arkansas,AR,Miller,05,091,60.24,78.45
Arkansas,AR,Mississippi,05,093,61.25,78.45
Arkansas,AR,Monroe,05,095,63.66,78.45
Arkansas,AR,Montgomery,05,097,34.99,78.45
Arkansas,AR,Nevada,05,099,51.98,78.45
Arkansas,AR,Newton,05,101,65.00,78.45
Arkansas,AR,Ouachita,05,103,44.98,78.45
Arkansas,AR,Perry,05,105,60.97,78.45
Arkansas,AR,Phillips,05,107,62.49,78.45
Arkansas,AR,Pike,05,109,63.00,78.45
Arkansas,AR,Poinsett,05,111,56.25,78.45
Arkansas,AR,Polk,05,113,58.32,78.45
Arkansas,AR,Pope,05,115,55.33,78.45
Arkansas,AR,Prairie,05,117,34.99,78.45
Arkansas,AR,Pulaski,05,119,65.09,78.45
Arkansas,AR,Randolph,05,121,63.31,78.45
Arkansas,AR,Saline,05,125,61.42,78.45
Arkansas,AR,Scott,05,127,48.48,78.45
Arkansas,AR,Searcy,05,129,73.65,78.45
Arkansas,AR,Sebastian,05,131,55.25,78.45
Arkansas,AR,Sevier,05,133,25.00,78.45
Arkansas,AR,Sharp,05,135,68.99,78.45
Arkansas,AR,Saint Francis,05,123,55.98,78.45
Arkansas,AR,Stone,05,137,63.31,78.45
Arkansas,AR,Union,05,139,49.99,78.45
Arkansas,AR,Van Buren,05,141,51.25,78.45
Arkansas,AR,Washington,05,143,61.53,78.45
Arkansas,AR,White,05,145,58.11,78.45
Arkansas,AR,Woodruff,05,147,50.00,78.45
Arkansas,AR,Yell,05,149,52.63,78.45
California,CA,Alameda,06,001,88.05,82.89
California,CA,Alpine,06,003,68.50,82.89
California,CA,Amador,06,005,63.16,82.89
California,CA,Butte,06,007,70.00,82.89
California,CA,Calaveras,06,009,72.58,82.89
California,CA,Colusa,06,011,70.00,82.89
California,CA,Contra Costa,06,013,93.42,82.89
California,CA,Del Norte,06,015,65.00,82.89
California,CA,El Dorado,06,017,62.00,82.89
California,CA,Fresno,06,019,62.48,82.89
California,CA,Glenn,06,021,70.00,82.89
California,CA,Humboldt,06,023,58.33,82.89
California,CA,Imperial,06,025,68.98,82.89
California,CA,Inyo,06,027,62.18,82.89
California,CA,Kern,06,029,65.13,82.89
California,CA,Kings,06,031,67.50,82.89
California,CA,Lake,06,033,60.00,82.89
California,CA,Lassen,06,035,77.48,82.89
California,CA,Los Angeles,06,037,57.28,82.89
California,CA,Madera,06,039,97.97,82.89
California,CA,Marin,06,041,67.49,82.89
California,CA,Mariposa,06,043,106.46,82.89
California,CA,Mendocino,06,045,78.31,82.89
California,CA,Merced,06,047,67.50,82.89
California,CA,Modoc,06,049,73.31,82.89
California,CA,Mono,06,051,46.66,82.89
California,CA,Monterey,06,053,57.14,82.89
California,CA,Napa,06,055,66.66,82.89
California,CA,Nevada,06,057,58.33,82.89
California,CA,Orange,06,059,56.10,82.89
California,CA,Placer,06,061,81.39,82.89
California,CA,Plumas,06,063,78.31,82.89
California,CA,Riverside,06,065,57.09,82.89
California,CA,Sacramento,06,067,54.25,82.89
California,CA,San Benito,06,069,67.50,82.89
California,CA,San Bernardino,06,071,52.83,82.89
California,CA,San Diego,06,073,58.71,82.89
California,CA,San Francisco,06,075,91.56,82.89
California,CA,San Joaquin,06,077,101.32,82.89
California,CA,San Luis Obispo,06,079,66.19,82.89
California,CA,San Mateo,06,081,93.63,82.89
California,CA,Santa Barbara,06,083,105.15,82.89
California,CA,Santa Clara,06,085,84.82,82.89
California,CA,Santa Cruz,06,087,60.99,82.89
California,CA,Shasta,06,089,68.98,82.89
California,CA,Sierra,06,091,65.00,82.89
California,CA,Siskiyou,06,093,74.97,82.89
California,CA,Solano,06,095,66.66,82.89
California,CA,Sonoma,06,097,55.37,82.89
California,CA,Stanislaus,06,099,64.32,82.89
California,CA,Sutter,06,101,66.66,82.89
California,CA,Tehama,06,103,74.98,82.89
California,CA,Trinity,06,105,65.25,82.89
California,CA,Tulare,06,107,71.99,82.89
California,CA,Tuolumne,06,109,70.00,82.89
California,CA,Ventura,06,111,59.42,82.89
California,CA,Yolo,06,113,59.50,82.89
California,CA,Yuba,06,115,66.66,82.89
Colorado,CO,Adams,08,001,81.18,86.7
Colorado,CO,Alamosa,08,003,49.57,86.7
Colorado,CO,Arapahoe,08,005,82.48,86.7
Colorado,CO,Archuleta,08,007,79.99,86.7
Colorado,CO,Baca,08,009,83.30,86.7
Colorado,CO,Bent,08,011,59.95,86.7
Colorado,CO,Boulder,08,013,101.98,86.7
Colorado,CO,Broomfield,08,014,75.00,86.7
Colorado,CO,Chaffee,08,015,77.47,86.7
Colorado,CO,Cheyenne,08,017,59.95,86.7
Colorado,CO,Clear Creek,08,019,79.99,86.7
Colorado,CO,Conejos,08,021,53.31,86.7
Colorado,CO,Costilla,08,023,39.99,86.7
Colorado,CO,Crowley,08,025,79.95,86.7
Colorado,CO,Custer,08,027,99.95,86.7
Colorado,CO,Delta,08,029,73.17,86.7
Colorado,CO,Denver,08,031,114.97,86.7
Colorado,CO,Dolores,08,033,59.99,86.7
Colorado,CO,Douglas,08,035,137.47,86.7
Colorado,CO,Eagle,08,037,75.00,86.7
Colorado,CO,El Paso,08,039,106.97,86.7
Colorado,CO,Elbert,08,041,85.00,86.7
Colorado,CO,Fremont,08,043,77.47,86.7
Colorado,CO,Garfield,08,045,79.99,86.7
Colorado,CO,Gilpin,08,047,94.50,86.7
Colorado,CO,Grand,08,049,79.99,86.7
Colorado,CO,Gunnison,08,051,73.98,86.7
Colorado,CO,Hinsdale,08,053,79.97,86.7
Colorado,CO,Huerfano,08,055,82.46,86.7
Colorado,CO,Jackson,08,057,49.97,86.7
Colorado,CO,Jefferson,08,059,77.99,86.7
Colorado,CO,Kiowa,08,061,59.95,86.7
Colorado,CO,Kit Carson,08,063,72.48,86.7
Colorado,CO,La Plata,08,065,73.33,86.7
Colorado,CO,Lake,08,067,70.00,86.7
Colorado,CO,Larimer,08,069,97.39,86.7
Colorado,CO,Las Animas,08,071,84.96,86.7
Colorado,CO,Lincoln,08,073,73.30,86.7
Colorado,CO,Logan,08,075,58.23,86.7
Colorado,CO,Mesa,08,077,79.98,86.7
Colorado,CO,Mineral,08,079,39.95,86.7
Colorado,CO,Moffat,08,081,78.74,86.7
Colorado,CO,Montezuma,08,083,67.33,86.7
Colorado,CO,Montrose,08,085,72.64,86.7
Colorado,CO,Morgan,08,087,69.99,86.7
Colorado,CO,Otero,08,089,77.47,86.7
Colorado,CO,Ouray,08,091,75.00,86.7
Colorado,CO,Park,08,093,89.97,86.7
Colorado,CO,Phillips,08,095,34.95,86.7
Colorado,CO,Pitkin,08,097,83.31,86.7
Colorado,CO,Prowers,08,099,64.97,86.7
Colorado,CO,Pueblo,08,101,84.96,86.7
Colorado,CO,Rio Blanco,08,103,69.99,86.7
Colorado,CO,Rio Grande,08,105,52.47,86.7
Colorado,CO,Routt,08,107,73.75,86.7
Colorado,CO,Saguache,08,109,38.97,86.7
Colorado,CO,San Juan,08,111,70.00,86.7
Colorado,CO,San Miguel,08,113,79.98,86.7
Colorado,CO,Sedgwick,08,115,34.95,86.7
Colorado,CO,Summit,08,117,79.99,86.7
Colorado,CO,Teller,08,119,63.98,86.7
Colorado,CO,Washington,08,121,52.48,86.7
Colorado,CO,Weld,08,123,63.18,86.7
Colorado,CO,Yuma,08,125,46.98,86.7
Connecticut,CT,Fairfield,09,110,58.71,65.5
Connecticut,CT,Hartford,09,120,58.49,65.5
Connecticut,CT,Litchfield,09,130,64.99,65.5
Connecticut,CT,Middlesex,09,140,148.64,65.5
Connecticut,CT,New Haven,09,150,62.19,65.5
Connecticut,CT,New London,09,160,59.19,65.5
Connecticut,CT,Tolland,09,170,71.99,65.5
Connecticut,CT,Windham,09,180,63.32,65.5
Delaware,DE,Kent,09,190,58.32,73.02
Delaware,DE,New Castle,10,001,118.73,73.02
Delaware,DE,Sussex,10,003,67.49,73.02
District of Columbia,DC,District of Columbia,10,005,115.18,80.64
Florida,FL,Alachua,11,001,66.50,76.11
Florida,FL,Baker,12,001,79.99,76.11
Florida,FL,Bay,12,003,64.00,76.11
Florida,FL,Bradford,12,005,70.00,76.11
Florida,FL,Brevard,12,007,74.39,76.11
